symbol,previousClose,change,pChange,yearHigh,yearLow,iep,purpose,marketCap
ALKEM,2935.6,9.400000000000091,0.3202071126856551,3151.5,2222,2945, INTERIM DIVIDEND - RS 25 PER SHARE,122798037600
CUB,174.35,0.5500000000000114,0.3154574132492179,200,115.6,174.9, INTERIM DIVIDEND - RS 0.50 PER SHARE,128481165102.9
IRCTC,1894.05,5.9500000000000455,0.31414165412740136,2073,1290.05,1900, ANNUAL GENERAL MEETING,101816880000
MPHASIS,1914.05,5.850000000000136,0.3056346490426131,2009.95,822.05,1919.9, ANNUAL GENERAL MEETING/DIVIDEND - RS 35 PER SHARE,162025161086.25
ULTRACEMCO,6580.9,19.100000000000364,0.29023385859077583,7055.95,3600,6600, ANNUAL GENERAL MEETING/DIVIDEND - RS 13 PER SHARE,770470633162.2
AXISBANK,735.1,2.1000000000000227,0.285675418310437,799,341.5,737.2, ANNUAL GENERAL MEETING/ DIVIDEND - RE 1 PER SHARE,1884859067719.32
ASIANPAINT,2941.6,8.400000000000091,0.285558879521352,2965,1577.5,2950, DIVIDEND - RS 14.50 PER SH,1329634700910.16
TORNTPOWER,424.85,1.1999999999999886,0.28245263034011736,465.9,293,426.05, DIVIDEND - RS 5.50  PER SHARE,72316004404.56
BHARATFORG,667.9,1.8500000000000227,0.276987572989972,689,287.15,669.75, INTERIM DIVIDEND - RS 2 PER SHARE,171655544788.92
HINDALCO,381,1.0500000000000114,0.27559055118110537,427.5,130,382.05, ANNUAL GENERAL MEETING/DIVIDEND - RE 1 PER SHARE,563474025858.22
ESCORTS,1137.9,3.099999999999909,0.2724316723789357,1468.45,851.55,1141, ANNUAL GENERAL MEETING/DIVIDEND - RS 2.5 PER SH,80161306840.06
TATACONSUM,641.9,1.6000000000000227,0.2492600093472539,698,357.35,643.5, ANNUAL GENERAL MEETING/DIVIDEND - RS 4.05 PER SHARE,388487037096.11
ZEEL,205.95,0.5,0.24277737314882253,261,134.65,206.45, ANNUAL GENERAL MEETING/DIVIDEND - RS 0.30 PER SHARE,193407181086
ASHOKLEY,125.5,0.29999999999999716,0.23904382470119295,138.9,42,125.8, ANNUAL GENERAL MEETING,181814817366.34
DLF,291.2,0.6500000000000341,0.22321428571429747,332.7,134.5,291.85, ANNUAL GENERAL MEETING/DIVIDEND - RS 0.80 PER SHARE,175376070300.6
GUJGASLTD,513.9,1.1000000000000227,0.21404942595836207,580.5,230.4,515, DIVIDEND - RS 1.25 PER SHARE,88243009148.44
ICICIPRULI,525.9,1.1000000000000227,0.20916524054003094,577.85,342.1,527, INTERIM DIVIDEND - RE 0.80 PER SH,204459154413.35
LT,1472.9,3.0499999999999545,0.207074478919136,1593,827,1475.95, SPECIAL DIVIDEND - RS 18 PER SHARE,1791007320545.89
TORNTPHARM,2710.2,5.600000000000364,0.2066268172090755,3031.2,2231.85,2715.8, DIVIDEND - RS 15 PER SHARE,133446075594.4
CHOLAFIN,544.1,1.1000000000000227,0.20216871898548477,600.95,120.1,545.2, INTERIMDIVIDEND - RS 1.30  PER SHARE,211685439427.3
JUBLFOOD,3144.4,6.049999999999727,0.19240554636813786,3215.5,1596.05,3150.45, INTERIM DIVIDEND - RS 6 PER SHARE,236997128360.16
ITC,210.6,0.4000000000000057,0.1899335232668593,239.2,163.35,211, INTERIM DIVIDEND - RS 5 PER SHARE,1845152758674.04
INDUSTOWER,241.45,0.45000000000001705,0.18637399047422534,282.65,162.2,241.9, INTERIM DIVIDEND - RS 17.82 PER SHARE,196137511221
SRTRANSFIN,1432.75,2.650000000000091,0.18495899493980741,1534.95,526.18,1435.4, ANNUAL GENERAL MEETING/DIVIDEND - RS 6 PER SHARE,269933883256.25
GMRINFRA,27.2,0.05000000000000071,0.18382352941176733,29.95,17,27.25, ANNUAL GENERAL MEETING,58234800013.2
HEROMOTOCO,2964.7,5.300000000000182,0.1787701959726172,3629.05,2115.25,2970, INTERIM DIVIDEND - RS 65 PER SHARE SPECIAL DIVIDEND - RS 5 PER SHARE,388441666022.87
LALPATHLAB,2788.4,4.599999999999909,0.16496915794003403,3399.3,1510,2793, INTERIM DIVIDEND - RS  6.00 PER SHARE,88145291880.57
EXIDEIND,190.2,0.30000000000001137,0.15772870662461166,219.3,145,190.5, INTERIM DIVIDEND - RS  2.00 PER SHARE,86682150000
BAJFINANCE,5771.15,8.800000000000182,0.1524826074525906,5822.2,1783,5779.95, INTERIM DIVIDEND - RS 10 PER SHARE,1506569582172.95
DABUR,532.2,0.7999999999999545,0.15031942878616206,581.9,421.2,533, INTERIM DIVIDEND - RS 1.75 PER SHARE,298171726077.7
GODREJCP,824.9,1.2000000000000455,0.14547217844587773,892,568.15,826.1, INTERIM DIVIDEND - RS 2 PER SHARE,314516266331.66
NATIONALUM,71.8,0.10000000000000853,0.13927576601672498,82.1,27.8,71.9, INTERIM DIVIDEND - RS 2 PER SHARE,67464459962.68
PEL,1701.6,2.3500000000001364,0.13810531264692857,2007.7,910.3,1703.95, ANNUAL GENERAL MEETING/DIVIDEND - RS 14 PER SHARE,216167688384.91
BIOCON,383.05,0.44999999999998863,0.11747813601357228,487.75,342.55,383.5, DIVIDEND - RS 0.50 PER SHARE,169563600000
TCS,3158.5,3.449999999999818,0.10922906442931196,3354.35,1941.25,3161.95, DIVIDEND - RS 15 PER SHARE,3293635342519.2
GAIL,152.1,0.15000000000000568,0.0986193293885639,165.75,81.2,152.25, INTERIM DIVIDEND - RS 2.5 PER SHARE,275659870849.92
GLENMARK,608.4,0.6000000000000227,0.0986193293885639,640,341.5,609, ANNUAL GENERAL MEETING/DIVIDEND - RS 2.50 PER SHARE,90716497817.69
ACC,1977.45,1.849999999999909,0.09355483071632198,2040,1180,1979.3, ANNUAL GENERAL MEETING/DIVIDEND - RS 14 PER SHARE,169021212340.25
APOLLOHOSP,3183.6,2.900000000000091,0.09109184570926282,3397,1302.2,3186.5, ANNUAL GENERAL MEETING/DIVIDEND - RS 2.75 PER SHARE,321976982420.1
CIPLA,945.15,0.8500000000000227,0.08993281489710869,966.35,616.3,946, ANNUAL GENERAL MEETING,478779840811.5
BAJAJ-AUTO,4166.3,3.699999999999818,0.08880781508772335,4361.4,2450,4170, INTERIM DIVIDEND - RS 120 PER SHARE,552906586629.9
PIIND,2559.45,2.25,0.08790951180917775,2795,1500,2561.7, INTERIM DIVIDEND - RS 3 PER SHARE,210078276154.96
BHARTIARTL,525.75,0.35000000000002274,0.06657156443176847,623,394,526.1, DIVIDEND - RS 2 PER SHARE,1256092540518.82
NESTLEIND,17541.3,8.700000000000728,0.04959723623677109,18844,15100,17550, ANNUAL GENERAL MEETING/DIVIDEND - RS 65 PER SHARE,633092491240.76
INDIGO,1724.15,0.6499999999998636,0.037699736101839375,1823.85,875.25,1724.8, ANNUAL GENERAL MEETING,167482973612.5
MRF,81569.5,30.39999999999418,0.037268832100226405,98599.95,55300,81599.9, INTERIM DIVIDEND - RS 3 PER SHARE,172059496559.59
SBIN,413.55,0.14999999999997726,0.03627130939426364,429.1,150.8,413.7, DIVIDEND - RS 4 PER SHARE,1631740274430.42
COALINDIA,145.7,0.05000000000001137,0.034317089910783374,163,109.55,145.75, INTERIM DIVIDEND - RS 5 PER SHARE,302879609087.07
AUROPHARMA,1023.35,0.35000000000002274,0.03420139737138054,1063.9,703.1,1023.7, INTERIM DIVIDEND - RS 1.50 PER SHARE,290138049141.31
DIVISLAB,4098.6,1.3999999999996362,0.03415800517248904,4205,2090.05,4100, ANNUAL GENERAL MEETING,519791727137.28
